country,n_train,n_test,cfi_network,cfi_big_five,cfi_bifactor,cfi_higher,tli_network,tli_big_five,tli_bifactor,tli_higher,rmsea_network,rmsea_big_five,rmsea_bifactor,rmsea_higher,bic_network,bic_big_five,bic_bifactor,bic_higher
USA,330062,330063,0.9584876415155821,0.4827233243492215,0.8603721378967869,0.7417084669618014,0.9521552478484675,0.4731304616053412,0.8462694008609187,0.7357877441414415,0.018570208505118934,0.0616241822072534,0.03328739302955424,0.043639131978239466,106662679.51364836,114733005.34145905,108324361.78069058,110334202.68207337
Canada,29336,29336,0.9925711435361427,0.48043247169773684,0.8575341435416315,0.7397963498175386,0.987713218635177,0.4707971252384937,0.8431447625115264,0.7338317962316943,0.009351083573527057,0.061369695565248135,0.03341122383118836,0.04352321397968232,9521634.249265278,10258826.751895532,9701563.728507927,9872476.422957247
UK,23862,23863,0.9905400280851984,0.4727784521452174,0.8632788570740009,0.7435589024664064,0.9854587299307463,0.463001162384715,0.8494697053983603,0.737680596505751,0.010394888533105603,0.0631691941939987,0.03344495530525548,0.044150321676157914,7725826.643143381,8358669.353272468,7869032.2905427115,8016112.490948647
Australia,16529,16529,0.9868367466167075,0.4882035122886542,0.8628073774084905,0.742521596354792,0.9808388115888464,0.4787122792783154,0.8489506051960866,0.7366195126036124,0.011810325609081152,0.061601231853371456,0.03315966575264469,0.043786723420430065,5308448.271469539,5717320.282518695,5400070.602423307,5499095.809680837
Singapore,4207,4207,0.9656190317860908,0.47113550584541963,0.8411751097773889,0.7268421223590734,0.9565214110791158,0.46132774775125474,0.8251334284981583,0.7205806237312011,0.016927795356633524,0.059583358670119616,0.033948147113646986,0.0429132036218929,1317724.8552435953,1404597.768658243,1335197.4506589891,1354196.2499940626
India,4086,4086,0.9600246197468689,0.49371679898794574,0.8293247958251501,0.7136093988846466,0.9494287358243524,0.48432780952552534,0.8120862054266109,0.7070445713519165,0.016811012444670856,0.05368201617489232,0.03240569157529067,0.040461570721993544,1380011.6317140844,1445045.4982064993,1394170.236177079,1409414.796535528
Philippin,3466,3465,0.9541014774115869,0.49105131102882416,0.8154202216483483,0.6916558750054356,0.9426168006861724,0.4816128902633102,0.7967772370962539,0.6845878148336404,0.018243789467659102,0.05483397999250476,0.03433277031433415,0.042772231226892284,1116027.2316204607,1172207.6353487815,1129415.2395389823,1143635.7328754768
Netherlan,3158,3158,0.9650088455429777,0.46659822748070134,0.8533639680109208,0.7326166780196095,0.9560378597882915,0.45670632585052884,0.8385533896064725,0.726487547429801,0.017321492524097662,0.06089241802749134,0.03319405900539481,0.043205043616111105,987025.9095297855,1053392.3754274808,997579.4184816282,1012667.3064635657
New Zeala,2982,2983,0.95954747321921,0.47671541952957397,0.8545175704867123,0.7334756074185164,0.9498208753970047,0.46701114057648474,0.8398235086006363,0.7273661657547574,0.018830469127366387,0.061370358844620644,0.03364333074796255,0.04389241458499611,967518.9528534036,1030448.605116147,977262.8871188688,992014.9575179598
Ireland,2860,2861,0.9647612322973809,0.4843932800743722,0.8587189879873905,0.7384351733656902,0.956311025977305,0.4748313865522137,0.8444492789868879,0.7324394180273679,0.01776895505475021,0.061606330896714,0.03352833422467689,0.04397309446652177,946932.0098280587,1008186.960599471,956579.5356779208,970892.0957542455
Finland,1970,1970,0.9585293937601698,0.45694282135654163,0.8581215462225666,0.7372873167280667,0.9499830863931777,0.44687186083961594,0.8437914942219161,0.7312652494897416,0.019112462036479337,0.06355812294737889,0.033776179613775416,0.04430167033826616,639447.7025876625,682884.9316322842,645130.9439814384,654283.8079504613
Sweden,1780,1779,0.9496881821420191,0.46881149841682823,0.8513422188702765,0.7348552065475493,0.9394630300798814,0.45896064175408746,0.8363274391262566,0.7287773889325934,0.021464651973563627,0.06416939425813441,0.03529404611790004,0.045433527418088177,579066.3879300213,617679.1168557126,584103.0649969773,592154.6254936795
China,1752,1753,0.9237299649720576,0.495756674261959,0.8007071658022515,0.6693248159003786,0.9076377119912639,0.48640551415554745,0.7805781285779609,0.6617448689869203,0.0210705849885381,0.04968661644578273,0.032476498905571784,0.040322870739714495,575703.240400353,593349.0896444668,578398.2362255398,583100.5623361985
Germany,1647,1647,0.9473284398969175,0.48119028276417086,0.8404126431792112,0.7231437186614871,0.9368471974582688,0.4715689898625077,0.8242939510099565,0.7167974428714925,0.021121539994194034,0.06109749568721347,0.035230809180660155,0.04472783187658432,540401.8763912003,571476.6339097475,544999.1347974702,551569.479905681
Malaysia,1423,1423,0.9234830402790716,0.49311239423675235,0.8071390907855618,NA,0.909950372110198,0.4837121961270202,0.7876596928618214,NA,0.023191029397866315,0.055529657855123975,0.035611911482146846,NA,472029.30543563387,491370.2029234836,475601.1498356532,NA
South Afr,1396,1395,0.9419915587091796,0.4671663132833175,0.853811525360032,0.7309842707279969,0.9311878599740061,0.4572849467678868,0.8390461512830576,0.7248177210598707,0.021857977915180307,0.06138515866604354,0.033429365363216716,0.04371069183192565,468862.4041826882,494645.86431995267,471183.52603071457,476588.5962078586
Thailand,1314,1315,0.816701350321766,0.44701585094275564,0.7277972506306399,0.5907644715891684,0.7967460228758207,0.43676079539675816,0.7003041433311903,0.581383714490926,0.02748357826627008,0.04575095714851522,0.0333729129354953,0.039442261301739216,424315.3757457562,432823.1281698618,426271.3131749356,427992.83446376905
Hong Kong,1307,1307,0.9261776176518957,0.49458105497921145,0.8219982672117626,NA,0.9128629839700008,0.4852080930886691,0.8040196804767903,NA,0.02302792177903651,0.05597179805326579,0.03453501379908214,NA,418120.7929893272,435835.9504895202,420483.68503320095,NA
South Kor,1131,1131,0.8876608849516436,0.4786612158280592,0.791367180525083,0.6623335977478433,0.8713344110610741,0.46899302154241707,0.7702947831841315,0.6545933936847566,0.025903811689469144,0.05262384553615092,0.03461129877720418,0.042442190167515,368511.2460899078,380212.18040808185,370209.10408338625,372657.9406544835
Norway,1124,1124,0.9393631327025282,0.47437337752810915,0.8584505604549988,0.7467377393642207,0.9285565622930778,0.4646256655564478,0.8441537396528438,0.7409323007250052,0.023481295917324053,0.06427908108334209,0.03468079772883543,0.044714411572557004,365883.2822548878,388116.72147036344,367491.2857801238,371428.1798336777
Mexico,1086,1085,0.9122095578942789,0.4761029938210607,0.8129591102777756,0.6955312246054122,0.8977615794103982,0.46638735747252114,0.7940675477846287,0.6885519976622696,0.024103238858491256,0.05506572893803176,0.034208240189905335,0.042068895714807465,374998.01191398274,388092.72169779736,376408.2184213169,378612.84661010536
France,1059,1059,0.9251057312396929,0.4752171151366076,NA,0.7172611170604019,0.9131060970184282,0.46548505022473297,NA,0.7107799965345658,0.023780178283492402,0.05897940419918768,NA,0.04338450196788837,357634.6660010254,373830.8341441131,NA,362099.3027622658
Afghanist,996,997,0.9153211127082016,0.4885444800310047,0.8305313733886007,0.7093358097401454,0.9014655711761016,0.4790595702455597,0.8134146501148203,0.7026730202786016,0.026994585282852496,0.06206927729626501,0.03714680169461795,0.0468921144556505,341917.00486026914,358395.4187628849,343491.4485149287,346948.9601550534
Romania,979,979,0.9155367943069583,0.5091365392260927,0.8070439661280454,0.6874442823567104,0.899304176215008,0.5000335078565339,0.7875549603938696,0.6802796813792138,0.02721852090985456,0.060649781478295084,0.03953503145070716,0.04850024244590145,317343.71552944114,331407.4799052685,319177.16642110195,322414.0895139043
Albania,843,843,0.9202659656370431,0.4685513982953542,0.8370215598520887,0.7228228784407791,0.9072497547488576,0.4586957180925576,0.820560360423117,0.716469248147158,0.026087683989917527,0.06302294862824537,0.036285840006959495,0.0456118903867543,283614.39377371926,297753.45831907046,284491.74916197965,286695.57623130846
Greece,802,802,0.8886099826428475,0.4585386993948568,NA,0.7103564050436728,0.8758275216346497,0.44849733433370587,NA,0.7037170103168802,0.028686482027904126,0.06045586274841361,NA,0.04431165536674089,268872.92515894177,280950.60191924346,NA,271564.952623084
Denmark,770,770,0.9048970956626997,0.4884770603025882,0.8457227598770305,0.7321387663646306,0.8907426006487009,0.4789909002226077,0.8301404017767151,0.7259986807798657,0.02856858063402167,0.06238581987179774,0.0356211781067273,0.04524176708136299,252869.543599667,264685.1008437729,252977.68918945012,254847.52059807186
